Country,Population,GDP Per Capita ($)
Austria,9104772,56802
Belgium,11697557,53377
Bulgaria,6447710,15854
Croatia,3850894,20537
Czech Republic,10827529,30427
Denmark,5932654,68007
Finland,5563970,54351
France,68070697,46315
Germany,84358845,52726
Greece,10394055,22595
Hungary,9599744,22146
Ireland,5281600,106059
Italy,58850717,38325
Netherlands,17811291,61098
Norway,5488984,87962
Poland,36822800,23014
Portugal,10467366,28969
Romania,19053815,18530
Spain,48059777,33090
Sweden,10521556,56224
Switzerland,8796669,98767
United Kingdom,68350000,48912
